,occupation_field,occupation_name,non-college count,wage/salary
123,ENT,"Musicians, Singers, And Related Workers",188,8855.74
124,ENT,"Entertainers And Performers, Sports And Related",86,12384.88
125,ENT,Announcers,46,18008.7
126,ENT,"News Analysts, Reporters And Corresponde",8,21375.0
127,ENT,Broadcast And Sound Engineering Technicians And Radio,88,27338.41
128,ENT,Photographers,149,12726.04
129,ENT,"Television, Video, And Motion Picture Camera Operators",30,17283.33
130,MED,Chiropractors,3,30000.0
131,MED,Dentists,1,48000.0
132,MED,Dietitians And Nutritionists,47,16978.72
133,MED,Optometrists,1,65000.0
134,MED,Pharmacists,1,79000.0
135,MED,Physicians And Surgeons,3,153333.33
136,MED,Physician Assistants,11,11500.0
137,MED,Audiologists,1,44000.0
138,MED,Occupational Therapists,2,40000.0
139,MED,Physical Therapists,6,42666.67
140,MED,Radiation Therapists,1,106000.0
141,MED,Recreational Therapists,5,19860.0
142,MED,Respiratory Therapists,15,57780.0
143,MED,Speech,2,60000.0
144,MED,"Other Therapists, Including Exercise Physiologists",21,30045.71
145,MED,Veterinarians,1,95000.0
146,MED,Registered Nurses,195,31441.03
147,MED,"Nurse Practitioners, And Nurse Midwives",6,88500.0
148,MED,"Health Diagnosing And Treating Practitioners, All Other",3,0.0
149,MED,Clinical Laboratory Technologists And Technicians,155,27191.61
150,MED,Dental Hygienists,17,43870.59
151,MED,Diagnostic Related Technologists And Technicians,114,35064.91
152,MED,Emergency Medical Technicians And Paramedics,57,28131.58
153,MED,Health Practitioner Support Technologists And,524,22394.24
154,MED,Licensed Practical And Licensed Vocational Nurses,734,24973.37
155,MED,Medical Records And Health Information Technicians,205,23330.98
156,MED,"Opticians, Dispensing",40,30692.5
157,MED,Miscellaneous Health Technologists And Technicians,113,33922.12
158,MED,Other Healthcare Practitioners And Technical,47,37285.11
159,HLS,"Nursing, Psychiatric, And Home Health Aides",3282,17229.87
160,HLS,Physical Therapist Assistants And Aides,20,17505.0
161,HLS,Massage Therapists,196,18072.09
162,HLS,Dental Assistants,234,23116.24
163,HLS,Medical Assistants,447,21484.12
164,HLS,Medical Transcriptionists,46,17554.35
165,HLS,Pharmacy Aides,43,19333.72
166,HLS,Veterinary Assistants And Laboratory Animal Caretakers,42,14714.29
167,HLS,Phlebotomists,121,21316.53
168,HLS,"Healthcare Support Workers, All Other, Including",208,17146.63
169,PRT,First,56,30327.14
170,PRT,First,54,47851.85
171,PRT,First,9,37000.0
172,PRT,First,86,28638.6
173,PRT,Firefighters,129,40238.76
174,PRT,Fire Inspectors,31,33561.29
175,PRT,"Bailiffs, Correctional Officers, And Jailers",543,31599.08
176,PRT,Detectives And Criminal Investigators,42,42816.67
177,PRT,Miscellaneous Law Enforcement Workers,12,18608.33
178,PRT,Police Officers,321,40318.16
179,PRT,Animal Control Workers,16,21478.12
180,PRT,Private Detectives And Investigators,44,35907.05
181,PRT,Security Guards And Gaming Surveillance Officers,1807,17926.0
182,PRT,Crossing Guards,175,11996.23
183,PRT,Transportation Security Screeners,42,29659.52
184,PRT,"Lifeguards And Other Recreational, And All Other",274,9763.32
185,EAT,Chefs And Head Cooks,679,23264.4
186,EAT,First,790,21647.24
