degree_name,male_%,male_wage,female_%,female_wage
Drama And Theater Arts,39.9,47880.78,60.1,33052.26
Music,46.63,44427.78,53.37,26348.5
Visual And Performing Arts,23.44,48078.96,76.56,30971.42
Commercial Art And Graphic Design,33.43,51348.65,66.57,33636.06
Film Video And Photographic Arts,59.47,48486.28,40.53,32902.73
Art History And Criticism,16.22,61544.25,83.78,36192.77
Studio Arts,32.87,42740.7,67.13,27799.93
Miscellaneous Fine Arts,54.42,39587.96,45.58,28765.31
General Medical And Health Services,27.8,62992.12,72.2,41201.68
Communication Disorders Sciences And Services,6.56,60394.73,93.44,40502.75
Health And Medical Administrative Services,23.67,74617.91,76.33,44383.75
Medical Assisting Services,12.55,84388.56,87.45,39706.8
Medical Technologies Technicians,23.8,69492.41,76.2,42464.73
Health And Medical Preparatory Programs,64.45,102358.44,35.55,67974.85
Nursing,8.4,76652.51,91.6,48432.83
Pharmacy Pharmaceutical Sciences And Administration,52.4,82735.14,47.6,68230.1
Treatment Therapy Professions,24.08,70640.47,75.92,45352.28
Community And Public Health,27.35,60305.34,72.65,38852.7
Miscellaneous Health Medical Professions,17.27,49648.51,82.73,33453.25
General Business,60.83,70033.62,39.17,43472.74
Accounting,51.57,77767.05,48.43,52859.96
Actuarial Science,60.42,117166.3,39.58,78987.57
Business Management And Administration,56.81,65104.48,43.19,45272.47
Operations Logistics And E-Commerce,68.0,73734.55,32.0,53368.81
Business Economics,67.92,82298.38,32.08,55076.45
Marketing And Marketing Research,46.75,75274.92,53.25,46674.95
Finance,66.1,99500.44,33.9,58956.92
Human Resources And Personnel Management,35.99,65157.05,64.01,47310.35
International Business,43.14,76862.64,56.86,50592.8
Hospitality Management,41.29,62075.49,58.71,38015.25
Management Information Systems And Statistics,63.86,88348.49,36.14,61904.36
Miscellaneous Business & Medical Administration,51.79,73981.27,48.21,36513.3
History,61.3,63142.63,38.7,37212.1
United States History,61.62,53520.28,38.38,34412.16
