,occupation_field,occupation_name,non-college count,wage/salary
171,HLS,Physical Therapist Assistants And Aides,423,20387.68
172,HLS,Massage Therapists,1999,21801.4
173,HLS,Dental Assistants,4565,26082.91
174,HLS,Medical Assistants,5911,25920.3
175,HLS,Medical Transcriptionists,679,27023.76
176,HLS,Pharmacy Aides,763,24241.84
177,HLS,Veterinary Assistants And Laboratory Animal Caretakers,890,17801.88
178,HLS,Phlebotomists,1406,27728.41
179,HLS,"Healthcare Support Workers, All Other, Including",4198,20715.82
180,PRT,First,1059,47275.36
181,PRT,First,856,57792.64
182,PRT,First,462,62529.35
183,PRT,First,1067,41443.16
184,PRT,Firefighters,3115,49917.22
185,PRT,Fire Inspectors,315,43751.16
186,PRT,"Bailiffs, Correctional Officers, And Jailers",8371,42951.25
187,PRT,Detectives And Criminal Investigators,573,57194.88
188,PRT,Miscellaneous Law Enforcement Workers,209,27247.47
189,PRT,Police Officers,5771,49011.0
190,PRT,Animal Control Workers,262,30499.63
191,PRT,Private Detectives And Investigators,504,39912.89
192,PRT,Security Guards And Gaming Surveillance Officers,22811,25411.73
193,PRT,Crossing Guards,2570,15381.05
194,PRT,Transportation Security Screeners,450,38644.23
195,PRT,"Lifeguards And Other Recreational, And All Other",10130,4045.95
196,EAT,Chefs And Head Cooks,7887,27388.18
197,EAT,First,13246,22900.05
198,EAT,Cooks,82429,13944.27
199,EAT,Food Preparation Workers,32403,10358.27
200,EAT,Bartenders,7698,18737.03
201,EAT,"Combined Food Preparation And Serving Workers,",14227,11266.59
202,EAT,"Counter Attendants, Cafeteria, Food Concession, And",9023,5619.06
203,EAT,Waiters And Waitresses,54753,11917.68
204,EAT,"Food Servers, Nonrestaurant",5930,14807.24
205,EAT,Miscellaneous Food Preparation And Serving Related,13356,9163.16
206,EAT,Dishwashers,14714,8505.12
207,EAT,"Hosts And Hostesses, Restaurant, Lounge, And Coffee",10784,5931.53
208,CLN,First,6109,35352.55
209,CLN,First,3405,36637.83
210,CLN,Janitors And Building Cleaners,97144,21059.79
211,CLN,Maids And Housekeeping Cleaners,53521,16539.0
212,CLN,Pest Control Workers,2026,32310.7
213,CLN,Grounds Maintenance Workers,48196,17711.67
214,PRS,First,706,35002.28
215,PRS,First,1603,29033.58
216,PRS,Animal Trainers,866,27363.97
217,PRS,Nonfarm Animal Caretakers,6523,15238.22
218,PRS,Gaming Services Workers,2522,28942.77
219,PRS,Motion Picture Projectionists,92,20635.71
220,PRS,"Ushers, Lobby Attendants, And Ticket Takers",1567,6243.28
221,PRS,Miscellaneous Entertainment Attendants And Related,6842,8916.16
222,PRS,Embalmers And Funeral Attendants,400,15409.94
223,PRS,"Morticians, Undertakers, And Funeral Directors",258,26805.59
224,PRS,Barbers,3186,19390.03
225,PRS,"Hairdressers, Hairstylists, And Cosmetologists",23228,21113.43
226,PRS,Miscellaneous Personal Appearance Workers,7308,18713.46
227,PRS,"Baggage Porters, Bellhops, And Concierges",1731,27958.73
228,PRS,Tour And Travel Guides,1181,12825.39
229,PRS,Childcare Workers,38011,10613.07
230,PRS,Personal Care Aides,37446,16209.54
231,PRS,Recreation And Fitness Workers,9163,10197.79
232,PRS,Residential Advisors,980,13991.27
233,PRS,"Personal Care And Service Workers, All Other",3521,14859.88
234,SAL,First,58263,39085.86
235,SAL,First,17344,54236.38
236,SAL,Cashiers,118370,10974.94
237,SAL,Counter And Rental Clerks,2434,19547.68
238,SAL,Parts Salespersons,3409,33995.67
239,SAL,Retail Salespersons,77267,20473.57
240,SAL,Advertising Sales Agents,1464,35439.78
241,SAL,Insurance Sales Agents,5200,44029.89
242,SAL,"Securities, Commodities, And Financial Services Sales",1176,56469.7
243,SAL,Travel Agents,822,32851.78
244,SAL,"Sales Representatives, Services, All Other",6734,43915.67
245,SAL,"Sales Representatives, Wholesale And Manufacturing",16471,50800.99
246,SAL,"Models, Demonstrators, And Product Promoters",2084,12938.98
247,SAL,Real Estate Brokers And Sales Agents,7215,45895.62
